id,text,token_count
10420," You send the darkness, and it becomes night,
    when all the forest animals prowl about.",20
10421," Then the young lions roar for their prey,
    stalking the food provided by God.",17
10422," At dawn they slink back
    into their dens to rest.",14
10423," Then people go off to their work,
    where they labor until evening.",15
10424," O Lord, what a variety of things you have made!
    In wisdom you have made them all.
    The earth is full of your creatures.",30
10425," Here is the ocean, vast and wide,
    teeming with life of every kind,
    both large and small.",24
10426," See the ships sailing along,
    and Leviathan, which you made to play in the sea.",20
10427," They all depend on you
    to give them food as they need it.",16
10428," When you supply it, they gather it.
    You open your hand to feed them,
    and they are richly satisfied.",26
10429," But if you turn away from them, they panic.
    When you take away their breath,
    they die and turn again to dust.",28
10430," When you give them your breath, life is created,
    and you renew the face of the earth.",21
10431," May the glory of the Lord continue forever!
    The Lord takes pleasure in all he has made!",20
10432," The earth trembles at his glance;
    the mountains smoke at his touch.",16
10433," I will sing to the Lord as long as I live.
    I will praise my God to my last breath!",23
10434," May all my thoughts be pleasing to him,
    for I rejoice in the Lord.",17
10435," Let all sinners vanish from the face of the earth;
    let the wicked disappear forever.
Let all that I am praise the Lord.
Praise the Lord!",33
10501," Give thanks to the Lord and proclaim his greatness.
    Let the whole world know what he has done.",21
10502," Sing to him; yes, sing his praises.
    Tell everyone about his wonderful deeds.",18
10503," Exult in his holy name;
    rejoice, you who worship the Lord.",16
10504," Search for the Lord and for his strength;
    continually seek him.",14
10505," Remember the wonders he has performed,
    his miracles, and the rulings he has given,",18
10506," you children of his servant Abraham,
    you descendants of Jacob, his chosen ones.",17
10507," He is the Lord our God.
    His justice is seen throughout the land.",16
10508," He always stands by his covenant
    the commitment he made to a thousand generations.",17
10509," This is the covenant he made with Abraham
    and the oath he swore to Isaac.",18
10510," He confirmed it to Jacob as a decree,
    and to the people of Israel as a neverending covenant:",22
10511," I will give you the land of Canaan
    as your special possession.",16
10512," He said this when they were few in number,
    a tiny group of strangers in Canaan.",20
10513," They wandered from nation to nation,
    from one kingdom to another.",14
10514," Yet he did not let anyone oppress them.
    He warned kings on their behalf:",17
10515," Do not touch my chosen people,
    and do not hurt my prophets.",15
10516," He called for a famine on the land of Canaan,
    cutting off its food supply.",19
10517," Then he sent someone to Egypt ahead of them
    Joseph, who was sold as a slave.",20
10518," They bruised his feet with fetters
    and placed his neck in an iron collar.",19
10519," Until the time came to fulfill his dreams,
    the Lord tested Josephs character.",17
10520," Then Pharaoh sent for him and set him free;
    the ruler of the nation opened his prison door.",22
10521," Joseph was put in charge of all the kings household;
    he became ruler over all the kings possessions.",21
10522," He could instruct the kings aides as he pleased
    and teach the kings advisers.",17
10523," Then Israel arrived in Egypt;
    Jacob lived as a foreigner in the land of Ham.",19
10524," And the Lord multiplied the people of Israel
    until they became too mighty for their enemies.",19
10525," Then he turned the Egyptians against the Israelites,
    and they plotted against the Lords servants.",19
10526," But the Lord sent his servant Moses,
    along with Aaron, whom he had chosen.",18
10527," They performed miraculous signs among the Egyptians,
    and wonders in the land of Ham.",17
10528," The Lord blanketed Egypt in darkness,
    for they had defied his commands to let his people go.",22
10529," He turned their water into blood,
    poisoning all the fish.",13
10530," Then frogs overran the land
    and even invaded the kings bedrooms.",15
10531," When the Lord spoke, flies descended on the Egyptians,
    and gnats swarmed across Egypt.",20
10532," He sent them hail instead of rain,
    and lightning flashed over the land.",16
10533," He ruined their grapevines and fig trees
    and shattered all the trees.",17
10534," He spoke, and hordes of locusts came
    young locusts beyond number.",20
10535," They ate up everything green in the land,
    destroying all the crops in their fields.",18
10536," Then he killed the oldest son in each Egyptian home,
    the pride and joy of each family.",20
10537," The Lord brought his people out of Egypt, loaded with silver and gold;
    and not one among the tribes of Israel even stumbled.",27
10538," Egypt was glad when they were gone,
    for they feared them greatly.",15
10539," The Lord spread a cloud above them as a covering
    and gave them a great fire to light the darkness.",23
10540," They asked for meat, and he sent them quail;
    he satisfied their hunger with mannabread from heaven.",24
10541," He split open a rock, and water gushed out
    to form a river through the dry wasteland.",23
10542," For he remembered his sacred promise
    to his servant Abraham.",13
10543," So he brought his people out of Egypt with joy,
    his chosen ones with rejoicing.",19
10544," He gave his people the lands of pagan nations,
    and they harvested crops that others had planted.",20
10545," All this happened so they would follow his decrees
    and obey his instructions.
Praise the Lord!",22
10601," Praise the Lord!
Give thanks to the Lord, for he is good!
    His faithful love endures forever.",24
10602," Who can list the glorious miracles of the Lord?
    Who can ever praise him enough?",18
10603," There is joy for those who deal justly with others
    and always do what is right.",20
10604," Remember me, Lord, when you show favor to your people;
    come near and rescue me.",20
10605," Let me share in the prosperity of your chosen ones.
    Let me rejoice in the joy of your people;
    let me praise you with those who are your heritage.",34
10606," Like our ancestors, we have sinned.
    We have done wrong! We have acted wickedly!",21
10607," Our ancestors in Egypt
    were not impressed by the Lords miraculous deeds.
They soon forgot his many acts of kindness to them.
    Instead, they rebelled against him at the Red Sea.",39
10608," Even so, he saved them
    to defend the honor of his name
    and to demonstrate his mighty power.",24
10609," He commanded the Red Sea to dry up.
    He led Israel across the sea as if it were a desert.",23
10610," So he rescued them from their enemies
    and redeemed them from their foes.",16
10611," Then the water returned and covered their enemies;
    not one of them survived.",16
10612," Then his people believed his promises.
    Then they sang his praise.",14
10613," Yet how quickly they forgot what he had done!
    They wouldnt wait for his counsel!",19
10614," In the wilderness their desires ran wild,
    testing Gods patience in that dry wasteland.",18
10615," So he gave them what they asked for,
    but he sent a plague along with it.",19
10616," The people in the camp were jealous of Moses
    and envious of Aaron, the Lords holy priest.",22
10617," Because of this, the earth opened up;
    it swallowed Dathan
    and buried Abiram and the other rebels.",25
10618," Fire fell upon their followers;
    a flame consumed the wicked.",13
10619," The people made a calf at Mount Sinai;
    they bowed before an image made of gold.",19
10620," They traded their glorious God
    for a statue of a grasseating bull.",17
10621," They forgot God, their savior,
    who had done such great things in Egypt",17
10622," such wonderful things in the land of Ham,
    such awesome deeds at the Red Sea.",18
10623," So he declared he would destroy them.
    But Moses, his chosen one, stepped between the Lord and the people.
    He begged him to turn from his anger and not destroy them.",38
10624," The people refused to enter the pleasant land,
    for they wouldnt believe his promise to care for them.",22
10625," Instead, they grumbled in their tents
    and refused to obey the Lord.",17
10626," Therefore, he solemnly swore
    that he would kill them in the wilderness,",17
10627," that he would scatter their descendants among the nations,
    exiling them to distant lands.",18
10628," Then our ancestors joined in the worship of Baal at Peor;
    they even ate sacrifices offered to the dead!",24
10629," They angered the Lord with all these things,
    so a plague broke out among them.",18
10630," But Phinehas had the courage to intervene,
    and the plague was stopped.",17
10631," So he has been regarded as a righteous man
    ever since that time.",16
10632," At Meribah, too, they angered the Lord,
    causing Moses serious trouble.",18
10633," They made Moses angry,
    and he spoke foolishly.",12
10634," Israel failed to destroy the nations in the land,
    as the Lord had commanded them.",18
10635," Instead, they mingled among the pagans
    and adopted their evil customs.",17
10636," They worshiped their idols,
    which led to their downfall.",13
10637," They even sacrificed their sons
    and their daughters to the demons.",14
10638," They shed innocent blood,
    the blood of their sons and daughters.
By sacrificing them to the idols of Canaan,
    they polluted the land with murder.",32
10639," They defiled themselves by their evil deeds,
    and their love of idols was adultery in the Lords sight.",22
10640," That is why the Lords anger burned against his people,
    and he abhorred his own special possession.",22
10641," He handed them over to pagan nations,
    and they were ruled by those who hated them.",19
10642," Their enemies crushed them
    and brought them under their cruel power.",14
10643," Again and again he rescued them,
    but they chose to rebel against him,
    and they were finally destroyed by their sin.",26
10644," Even so, he pitied them in their distress
    and listened to their cries.",18
10645," He remembered his covenant with them
    and relented because of his unfailing love.",18
10646," He even caused their captors
    to treat them with kindness.",14
10647," Save us, O Lord our God!
    Gather us back from among the nations,
so we can thank your holy name
    and rejoice and praise you.",32
10648," Praise the Lord, the God of Israel,
    who lives from everlasting to everlasting!
Let all the people say, Amen!
Praise the Lord!",31
10701," Give thanks to the Lord, for he is good!
    His faithful love endures forever.",19
10702," Has the Lord redeemed you? Then speak out!
    Tell others he has redeemed you from your enemies.",21
10703," For he has gathered the exiles from many lands,
    from east and west,
    from north and south.",23
10704," Some wandered in the wilderness,
    lost and homeless.",11
10705," Hungry and thirsty,
    they nearly died.",10
10706," Lord, help! they cried in their trouble,
    and he rescued them from their distress.",19
10707," He led them straight to safety,
    to a city where they could live.",16
10708," Let them praise the Lord for his great love
    and for the wonderful things he has done for them.",22
10709," For he satisfies the thirsty
    and fills the hungry with good things.",15
10710," Some sat in darkness and deepest gloom,
    imprisoned in iron chains of misery.",17
10711," They rebelled against the words of God,
    scorning the counsel of the Most High.",19
10712," That is why he broke them with hard labor;
    they fell, and no one was there to help them.",23
10713," Lord, help! they cried in their trouble,
    and he saved them from their distress.",19
10714," He led them from the darkness and deepest gloom;
    he snapped their chains.",17
10715," Let them praise the Lord for his great love
    and for the wonderful things he has done for them.",22
10716," For he broke down their prison gates of bronze;
    he cut apart their bars of iron.",19
10717," Some were fools; they rebelled
    and suffered for their sins.",15
10718," They couldnt stand the thought of food,
    and they were knocking on deaths door.",18
10719," Lord, help! they cried in their trouble,
    and he saved them from their distress.",19
10720," He sent out his word and healed them,
    snatching them from the door of death.",19
10721," Let them praise the Lord for his great love
    and for the wonderful things he has done for them.",22
10722," Let them offer sacrifices of thanksgiving
    and sing joyfully about his glorious acts.",18
10723," Some went off to sea in ships,
    plying the trade routes of the world.",18
10724," They, too, observed the Lords power in action,
    his impressive works on the deepest seas.",20
10725," He spoke, and the winds rose,
    stirring up the waves.",14
10726," Their ships were tossed to the heavens
    and plunged again to the depths;
    the sailors cringed in terror.",24
10727," They reeled and staggered like drunkards
    and were at their wits end.",19
10728," Lord, help! they cried in their trouble,
    and he saved them from their distress.",19
10729," He calmed the storm to a whisper
    and stilled the waves.",16
10730," What a blessing was that stillness
    as he brought them safely into harbor!",17
10731," Let them praise the Lord for his great love
    and for the wonderful things he has done for them.",22
10732," Let them exalt him publicly before the congregation
    and before the leaders of the nation.",19
10733," He changes rivers into deserts,
    and springs of water into dry, thirsty land.",18
10734," He turns the fruitful land into salty wastelands,
    because of the wickedness of those who live there.",23
10735," But he also turns deserts into pools of water,
    the dry land into springs of water.",20
10736," He brings the hungry to settle there
    and to build their cities.",15
10737," They sow their fields, plant their vineyards,
    and harvest their bumper crops.",17
10738," How he blesses them!
    They raise large families there,
    and their herds of livestock increase.",22
10739," When they decrease in number and become impoverished
    through oppression, trouble, and sorrow,",18
10740," the Lord pours contempt on their princes,
    causing them to wander in trackless wastelands.",20
10741," But he rescues the poor from trouble
    and increases their families like flocks of sheep.",20
10742," The godly will see these things and be glad,
    while the wicked are struck silent.",19
10743," Those who are wise will take all this to heart;
    they will see in our history the faithful love of the Lord.",25
10801," My heart is confident in you, O God;
    no wonder I can sing your praises with all my heart!",23
10802," Wake up, lyre and harp!
    I will wake the dawn with my song.",19
10803," I will thank you, Lord, among all the people.
    I will sing your praises among the nations.",22
10804," For your unfailing love is higher than the heavens.
    Your faithfulness reaches to the clouds.",20
10805," Be exalted, O God, above the highest heavens.
    May your glory shine over all the earth.",22
10806," Now rescue your beloved people.
    Answer and save us by your power.",15
10807," God has promised this by his holiness:
I will divide up Shechem with joy.
    I will measure out the valley of Succoth.",29
10808," Gilead is mine,
    and Manasseh, too.
Ephraim, my helmet, will produce my warriors,
    and Judah, my scepter, will produce my kings.",41
10809," But Moab, my washbasin, will become my servant,
    and I will wipe my feet on Edom
    and shout in triumph over Philistia.",35
10810," Who will bring me into the fortified city?
    Who will bring me victory over Edom?",19
10811," Have you rejected us, O God?
    Will you no longer march with our armies?",18
10812," Oh, please help us against our enemies,
    for all human help is useless.",17
10813," With Gods help we will do mighty things,
    for he will trample down our foes.",19
10901," O God, whom I praise,
    dont stand silent and aloof",14
10902," while the wicked slander me
    and tell lies about me.",13
10903," They surround me with hateful words
    and fight against me for no reason.",16
10904," I love them, but they try to destroy me with accusations
    even as I am praying for them!",22
10905," They repay evil for good,
    and hatred for my love.",13
10906," They say, Get an evil person to turn against him.
    Send an accuser to bring him to trial.",23
10907," When his case comes up for judgment,
    let him be pronounced guilty.
    Count his prayers as sins.",22
10908," Let his years be few;
    let someone else take his position.",14
10909," May his children become fatherless,
    and his wife a widow.",14
10910," May his children wander as beggars
    and be driven from their ruined homes.",17
10911," May creditors seize his entire estate,
    and strangers take all he has earned.",16
10912," Let no one be kind to him;
    let no one pity his fatherless children.",18
10913," May all his offspring die.
    May his family name be blotted out in the next generation.",20
10914," May the Lord never forget the sins of his fathers;
    may his mothers sins never be erased from the record.",23
10915," May the Lord always remember these sins,
    and may his name disappear from human memory.",18
10916," For he refused all kindness to others;
    he persecuted the poor and needy,
    and he hounded the brokenhearted to death.",28
10917," He loved to curse others;
    now you curse him.
He never blessed others;
    now dont you bless him.",24
10918," Cursing is as natural to him as his clothing,
    or the water he drinks,
    or the rich food he eats.",27
10919," Now may his curses return and cling to him like clothing;
    may they be tied around him like a belt.",23
10920," May those curses become the Lords punishment
    for my accusers who speak evil of me.",19
10921," But deal well with me, O Sovereign Lord,
    for the sake of your own reputation!
Rescue me
    because you are so faithful and good.",33
10922," For I am poor and needy,
    and my heart is full of pain.",16
10923," I am fading like a shadow at dusk;
    I am brushed off like a locust.",19
10924," My knees are weak from fasting,
    and I am skin and bones.",15
10925," I am a joke to people everywhere;
    when they see me, they shake their heads in scorn.",21
10926," Help me, O Lord my God!
    Save me because of your unfailing love.",18
10927," Let them see that this is your doing,
    that you yourself have done it, Lord.",19
10928," Then let them curse me if they like,
    but you will bless me!
When they attack me, they will be disgraced!
    But I, your servant, will go right on rejoicing!",41
10929," May my accusers be clothed with disgrace;
    may their humiliation cover them like a cloak.",20
10930," But I will give repeated thanks to the Lord,
    praising him to everyone.",16
10931," For he stands beside the needy,
    ready to save them from those who condemn them.",18
11001," The Lord said to my Lord,
    Sit in the place of honor at my right hand
until I humble your enemies,
    making them a footstool under your feet.",36
11002," The Lord will extend your powerful kingdom from Jerusalem;
    you will rule over your enemies.",18
11003," When you go to war,
    your people will serve you willingly.
You are arrayed in holy garments,
    and your strength will be renewed each day like the morning dew.",36
11004," The Lord has taken an oath and will not break his vow:
    You are a priest forever in the order of Melchizedek.",28
11005," The Lord stands at your right hand to protect you.
    He will strike down many kings when his anger erupts.",24
11006," He will punish the nations
    and fill their lands with corpses;
    he will shatter heads over the whole earth.",25
11007," But he himself will be refreshed from brooks along the way.
    He will be victorious.",19
11101," Praise the Lord!
I will thank the Lord with all my heart
    as I meet with his godly people.",25
11102," How amazing are the deeds of the Lord!
    All who delight in him should ponder them.",19
11103," Everything he does reveals his glory and majesty.
    His righteousness never fails.",16
11104," He causes us to remember his wonderful works.
    How gracious and merciful is our Lord!",19
11105," He gives food to those who fear him;
    he always remembers his covenant.",16
11106," He has shown his great power to his people
    by giving them the lands of other nations.",20
11107," All he does is just and good,
    and all his commandments are trustworthy.",17
11108," They are forever true,
    to be obeyed faithfully and with integrity.",15
11109," He has paid a full ransom for his people.
    He has guaranteed his covenant with them forever.
    What a holy, aweinspiring name he has!",32
11110," Fear of the Lord is the foundation of true wisdom.
    All who obey his commandments will grow in wisdom.
Praise him forever!",28
11201," Praise the Lord!
How joyful are those who fear the Lord
    and delight in obeying his commands.",23
11202," Their children will be successful everywhere;
    an entire generation of godly people will be blessed.",19
11203," They themselves will be wealthy,
    and their good deeds will last forever.",15
11204," Light shines in the darkness for the godly.
    They are generous, compassionate, and righteous.",20
11205," Good comes to those who lend money generously
    and conduct their business fairly.",16
11206," Such people will not be overcome by evil.
    Those who are righteous will be long remembered.",19
11207," They do not fear bad news;
    they confidently trust the Lord to care for them.",18
11208," They are confident and fearless
    and can face their foes triumphantly.",15
11209," They share freely and give generously to those in need.
    Their good deeds will be remembered forever.
    They will have influence and honor.",28
11210," The wicked will see this and be infuriated.
    They will grind their teeth in anger;
    they will slink away, their hopes thwarted.",31
11301," Praise the Lord!
Yes, give praise, O servants of the Lord.
    Praise the name of the Lord!",25
11302," Blessed be the name of the Lord
    now and forever.",13
11303," Everywherefrom east to west
    praise the name of the Lord.",14
11304," For the Lord is high above the nations;
    his glory is higher than the heavens.",18
11305," Who can be compared with the Lord our God,
    who is enthroned on high?",19
11306," He stoops to look down
    on heaven and on earth.",14
11307," He lifts the poor from the dust
    and the needy from the garbage dump.",17
11308," He sets them among princes,
    even the princes of his own people!",15
11309," He gives the childless woman a family,
    making her a happy mother.
Praise the Lord!",21
11401," When the Israelites escaped from Egypt
    when the family of Jacob left that foreign land",18
11402," the land of Judah became Gods sanctuary,
    and Israel became his kingdom.",16
11403," The Red Sea saw them coming and hurried out of their way!
    The water of the Jordan River turned away.",23
11404," The mountains skipped like rams,
    the hills like lambs!",14
11405," Whats wrong, Red Sea, that made you hurry out of their way?
    What happened, Jordan River, that you turned away?",27
11406," Why, mountains, did you skip like rams?
    Why, hills, like lambs?",20
11407," Tremble, O earth, at the presence of the Lord,
    at the presence of the God of Jacob.",23
11408," He turned the rock into a pool of water;
    yes, a spring of water flowed from solid rock.",22
11501," Not to us, O Lord, not to us,
    but to your name goes all the glory
    for your unfailing love and faithfulness.",31
11502," Why let the nations say,
    Where is their God?",12
11503," Our God is in the heavens,
    and he does as he wishes.",15
11504," Their idols are merely things of silver and gold,
    shaped by human hands.",16
11505," They have mouths but cannot speak,
    and eyes but cannot see.",14
11506," They have ears but cannot hear,
    and noses but cannot smell.",14
11507," They have hands but cannot feel,
    and feet but cannot walk,
    and throats but cannot make a sound.",24
11508," And those who make idols are just like them,
    as are all who trust in them.",19
11509," O Israel, trust the Lord!
    He is your helper and your shield.",16
11510," O priests, descendants of Aaron, trust the Lord!
    He is your helper and your shield.",20
11511," All you who fear the Lord, trust the Lord!
    He is your helper and your shield.",20
11512," The Lord remembers us and will bless us.
    He will bless the people of Israel
    and bless the priests, the descendants of Aaron.",29
11513," He will bless those who fear the Lord,
    both great and lowly.",16
11514," May the Lord richly bless
    both you and your children.",14
11515," May you be blessed by the Lord,
    who made heaven and earth.",15
11516," The heavens belong to the Lord,
    but he has given the earth to all humanity.",18
11517," The dead cannot sing praises to the Lord,
    for they have gone into the silence of the grave.",21
11518," But we can praise the Lord
    both now and forever!
Praise the Lord!",18
11601," I love the Lord because he hears my voice
    and my prayer for mercy.",17
11602," Because he bends down to listen,
    I will pray as long as I have breath!",18
11603," Death wrapped its ropes around me;
    the terrors of the grave overtook me.
    I saw only trouble and sorrow.",26
11604," Then I called on the name of the Lord:
    Please, Lord, save me!",18
11605," How kind the Lord is! How good he is!
    So merciful, this God of ours!",21
11606," The Lord protects those of childlike faith;
    I was facing death, and he saved me.",20
11607," Let my soul be at rest again,
    for the Lord has been good to me.",18
11608," He has saved me from death,
    my eyes from tears,
    my feet from stumbling.",19
11609," And so I walk in the Lords presence
    as I live here on earth!",17
11610," I believed in you, so I said,
    I am deeply troubled, Lord.",17
11611," In my anxiety I cried out to you,
    These people are all liars!",17
11612," What can I offer the Lord
    for all he has done for me?",16
11613," I will lift up the cup of salvation
    and praise the Lords name for saving me.",19
11614," I will keep my promises to the Lord
    in the presence of all his people.",18
11615," The Lord cares deeply
    when his loved ones die.",12
11616," O Lord, I am your servant;
    yes, I am your servant, born into your household;
    you have freed me from my chains.",30
11617," I will offer you a sacrifice of thanksgiving
    and call on the name of the Lord.",20
11618," I will fulfill my vows to the Lord
    in the presence of all his people",17
11619," in the house of the Lord
    in the heart of Jerusalem.
Praise the Lord!",19
11701," Praise the Lord, all you nations.
    Praise him, all you people of the earth.",21
11702," For his unfailing love for us is powerful;
    the Lords faithfulness endures forever.
Praise the Lord!",24
11801," Give thanks to the Lord, for he is good!
    His faithful love endures forever.",19
11802," Let all Israel repeat:
    His faithful love endures forever.",13
11803," Let Aarons descendants, the priests, repeat:
    His faithful love endures forever.",19
11804," Let all who fear the Lord repeat:
    His faithful love endures forever.",16
11805," In my distress I prayed to the Lord,
    and the Lord answered me and set me free.",20
11806," The Lord is for me, so I will have no fear.
    What can mere people do to me?",22
11807," Yes, the Lord is for me; he will help me.
    I will look in triumph at those who hate me.",25
11808," It is better to take refuge in the Lord
    than to trust in people.",17
11809," It is better to take refuge in the Lord
    than to trust in princes.",17
11810," Though hostile nations surrounded me,
    I destroyed them all with the authority of the Lord.",18
11811," Yes, they surrounded and attacked me,
    but I destroyed them all with the authority of the Lord.",21
11812," They swarmed around me like bees;
    they blazed against me like a crackling fire.
    But I destroyed them all with the authority of the Lord.",33
11813," My enemies did their best to kill me,
    but the Lord rescued me.",16
11814," The Lord is my strength and my song;
    he has given me victory.",16
11815," Songs of joy and victory are sung in the camp of the godly.
    The strong right arm of the Lord has done glorious things!",28
11816," The strong right arm of the Lord is raised in triumph.
    The strong right arm of the Lord has done glorious things!",25
11817," I will not die; instead, I will live
    to tell what the Lord has done.",20
11818," The Lord has punished me severely,
    but he did not let me die.",16
11819," Open for me the gates where the righteous enter,
    and I will go in and thank the Lord.",21
11820," These gates lead to the presence of the Lord,
    and the godly enter there.",18
11821," I thank you for answering my prayer
    and giving me victory!",14
11822," The stone that the builders rejected
    has now become the cornerstone.",14
11823," This is the Lords doing,
    and it is wonderful to see.",14
11824," This is the day the Lord has made.
    We will rejoice and be glad in it.",19
11825," Please, Lord, please save us.
    Please, Lord, please give us success.",18
11826," Bless the one who comes in the name of the Lord.
    We bless you from the house of the Lord.",23
11827," The Lord is God, shining upon us.
    Take the sacrifice and bind it with cords on the altar.",22
11828," You are my God, and I will praise you!
    You are my God, and I will exalt you!",24
11829," Give thanks to the Lord, for he is good!
    His faithful love endures forever.",19
11901," Joyful are people of integrity,
    who follow the instructions of the Lord.",16
11902," Joyful are those who obey his laws
    and search for him with all their hearts.",19
11903," They do not compromise with evil,
    and they walk only in his paths.",16
11904," You have charged us
    to keep your commandments carefully.",13
11905," Oh, that my actions would consistently
    reflect your decrees!",14
11906," Then I will not be ashamed
    when I compare my life with your commands.",17
11907," As I learn your righteous regulations,
    I will thank you by living as I should!",18
11908," I will obey your decrees.
    Please dont give up on me!",15
11909," How can a young person stay pure?
    By obeying your word.",15
11910," I have tried hard to find you
    dont let me wander from your commands.",17
11911," I have hidden your word in my heart,
    that I might not sin against you.",18
