Reference,Text,token_count
Quotient - Wikipedia,"In arithmetic, a quotient (from Latin: quotiens 'how many times', pronounced /ˈkwoʊʃənt/) is a quantity produced by the division of two numbers.[1] The quotient has widespread use throughout mathematics. It has two definitions: either the integer part of a division (in the case of Euclidean division)[2] or a fraction or ratio (in the case of a general division).",87
Quotient - Wikipedia,"The quotient is most frequently encountered as two numbers, or two variables, divided by a horizontal line. The words ""dividend"" and ""divisor"" refer to each individual part, while the word ""quotient"" refers to the whole",48
Exponentiation - Wikipedia,"In mathematics, exponentiation is an operation involving two numbers: the base and the exponent or power",19
Exponentiation - Wikipedia,The exponent is usually shown as a superscript to the right of the base.,16
Exponentiation - Wikipedia,"In other words, when multiplying a base raised to one exponent by the same base raised to another exponent, the exponents add.",26
Exponentiation - Wikipedia,The rule that multiplying makes exponents add can also be used to derive the properties of negative integer exponents.,22
Exponentiation - Wikipedia,"The properties of fractional exponents also follow from the same rule. For example, suppose we consider  and ask if there is some suitable exponent, which we may call , such that .",37
Exponentiation - Wikipedia,"The definition of exponentiation can be extended to allow any real or complex exponent. Exponentiation by integer exponents can also be defined for a wide variety of algebraic structures, including matrices.",39
Compound interest - Wikipedia,"Compound interest is interest accumulated from a principal sum and previously accumulated interest. It is the result of reinvesting or retaining interest that would otherwise be paid out, or of the accumulation of debts from a borrower.",42
Compound interest - Wikipedia,"Compound interest is contrasted with simple interest, where previously accumulated interest is not added to the principal amount of the current period. Compounded interest depends on the simple interest rate applied and the frequency at which the interest is compounded.",45
Interest - Wikipedia,"In finance and economics, interest is payment from a borrower or deposit-taking financial institution to a lender or depositor of an amount above repayment of the principal sum (that is, the amount borrowed), at a particular rate",43
Interest - Wikipedia,"It is distinct from a fee which the borrower may pay to the lender or some third party. It is also distinct from dividend which is paid by a company to its shareholders (owners) from its profit or reserve, but not at a particular rate decided beforehand, rather on a pro rata basis as a share in the reward gained by risk taking entrepreneurs when the revenue earned exceeds the total costs",78
Interest - Wikipedia,"Interest differs from profit, in that interest is received by a lender, whereas profit is received by the owner of an asset, investment or enterprise. (Interest may be part or the whole of the profit on an investment, but the two concepts are distinct from each other from an accounting perspective.)",58
Interest - Wikipedia,The rate of interest is equal to the interest amount paid or received over a particular period divided by the principal sum borrowed or lent (usually expressed as a percentage).,32
Investment - Wikipedia,"Investment is traditionally defined as the ""commitment of resources to achieve later benefits"". If an investment involves money, then it can be defined as a ""commitment of money to receive more money later"". From a broader viewpoint, an investment can be defined as ""to tailor the pattern of expenditure and receipt of resources to optimise the desirable patterns of these flows"".",73
Investment - Wikipedia,"When expenditures and receipts are defined in terms of money, then the net monetary receipt in a time period is termed cash flow, while money received in a series of several time periods is termed cash flow stream.",41
Investment - Wikipedia,"In finance, the purpose of investing is to generate a return on the invested asset. The return may consist of a gain (profit) or a loss realized from the sale of a property or an investment, unrealized capital appreciation (or depreciation), investment income such as dividends, interest, or rental income, or a combination of capital gain and income. The return may also include currency gains or losses due to changes in foreign currency exchange rates.",88
Financial risk - Wikipedia,"Financial risk is any of various types of risk associated with financing, including financial transactions that include company loans in risk of default.",25
Financial risk - Wikipedia,Equity risk is the risk that stock prices in general (not related to a particular company or industry) or the implied volatility will change,27
Financial risk - Wikipedia,"When it comes to long-term investing, equities provide a return that will hopefully exceed the risk free rate of return",23
Interest rate risk - Wikipedia,Interest rate risk is the risk that arises for bond owners from fluctuating interest rates. How much interest rate risk a bond has depends on how sensitive its price is to interest rate changes in the market.,40
Interest rate risk - Wikipedia,There are a number of standard calculations for measuring the impact of changing interest rates on a portfolio consisting of various assets and liabilities.,25
Interest rate risk - Wikipedia,"Marking to market, calculating the net market value of the assets and liabilities, sometimes called the ""market value of portfolio equity""",26
Interest rate risk - Wikipedia,Stress testing this market value by shifting the yield curve in a specific way.,16
Arbitrage - Wikipedia,"In economics and finance, arbitrage is the practice of taking advantage of a difference in prices in two or more markets – striking a combination of matching deals to capitalise on the difference, the profit being the difference between the market prices at which the unit is traded",52
Arbitrage - Wikipedia,"When used by academics, an arbitrage is a transaction that involves no negative cash flow at any probabilistic or temporal state and a positive cash flow in at least one state; in simple terms, it is the possibility of a risk-free profit after transaction costs",51
Arbitrage - Wikipedia,"In principle and in academic use, an arbitrage is risk-free; in common use, as in statistical arbitrage, it may refer to expected profit, though losses may occur, and in practice, there are always risks in arbitrage, some minor (such as fluctuation of prices decreasing profit margins), some major (such as devaluation of a currency or derivative).",74
Cash flow - Wikipedia,"Cash flow, in general, refers to payments made into or out of a business, project, or financial product. It can also refer more specifically to a real or virtual movement of money.",38
Cash flow - Wikipedia,"Cash flow, in its narrow sense, is a payment (in a currency), especially from one central bank account to another. The term 'cash flow' is mostly used to describe payments that are expected to happen in the future, are thus uncertain, and therefore need to be forecast with cash flows",59
Cash flow - Wikipedia,"Cash flows are narrowly interconnected with the concepts of value, interest rate, and liquidity. A cash flow that shall happen on a future day tN can be transformed into a cash flow of the same value in t0",43
Cash flow - Wikipedia,to determine a project's rate of return or value. The time of cash flows into and out of projects are used as inputs in financial models such as internal rate of return and net present value.,39
Accounting liquidity - Wikipedia,"In accounting, liquidity (or accounting liquidity) is a measure of the ability of a debtor to pay their debts as and when they fall due. It is usually expressed as a ratio or a percentage of current liabilities.",43
Accounting liquidity - Wikipedia,The current ratio is the simplest measure and calculated by dividing the total current assets by the total current liabilities. A value of over 100% is normal in a non-banking corporation.,37
Accounting liquidity - Wikipedia,"The quick ratio is calculated by deducting inventories and prepayments from current assets and then dividing by current liabilities, giving a measure of the ability to meet current liabilities from assets that can be readily sold.",41
Accounting liquidity - Wikipedia,"For different industries and differing legal systems the use of differing ratios and results would be appropriate. For instance, in a country with a legal system that gives a slow or uncertain result a higher level of liquidity would be appropriate to cover the uncertainty related to the valuation of assets.",54
Matrix (mathematics) - Wikipedia,"In mathematics, a matrix (pl.: matrices) is a rectangular array or table of numbers, symbols, or expressions, arranged in rows and columns, which is used to represent a mathematical object or a property of such an object",45
Matrix (mathematics) - Wikipedia,"Matrices are used to represent linear maps and allow explicit computations in linear algebra. Therefore, the study of matrices is a large part of linear algebra, and most properties and operations of abstract linear algebra can be expressed in terms of matrices. For example, matrix multiplication represents the composition of linear maps.",59
Matrix (mathematics) - Wikipedia,"Not all matrices are related to linear algebra. This is, in particular, the case in graph theory, of incidence matrices, and adjacency matrices. This article focuses on matrices related to linear algebra, and, unless otherwise specified, all matrices represent linear maps or may be viewed as such",56
Matrix (mathematics) - Wikipedia,"Square matrices, matrices with the same number of rows and columns, play a major role in matrix theory. Square matrices of a given dimension form a noncommutative ring, which is one of the most common examples of a noncommutative ring.",51
Matrix (mathematics) - Wikipedia,"The determinant of a square matrix is a number associated to the matrix, which is fundamental for the study of a square matrix; for example, a square matrix is invertible if and only if it has a nonzero determinant, and the eigenvalues of a square matrix are the roots of a polynomial determinant.",60
Matrix (mathematics) - Wikipedia,"In geometry, matrices are widely used for specifying and representing geometric transformations (for example rotations) and coordinate changes. In numerical analysis, many computational problems are solved by reducing them to a matrix computation, and this often involves computing with matrices of huge dimension",49
Matrix (mathematics) - Wikipedia,"Matrix theory is the branch of mathematics that focuses on the study of matrices. It was initially a sub-branch of linear algebra, but soon grew to include subjects related to graph theory, algebra, combinatorics and statistics.",45
Element (mathematics) - Wikipedia,"Writing  means that the elements of the set A are the numbers 1, 2, 3 and 4. Sets of elements of A, for example , are subsets of A.",39
Element (mathematics) - Wikipedia,"Sets can themselves be elements. For example, consider the set . The elements of B are not 1, 2, 3, and 4. Rather, there are only three elements of B, namely the numbers 1 and 2, and the set .",55
Element (mathematics) - Wikipedia,"The elements of a set can be anything. For example,  is the set whose elements are the colors red, green and blue.",27
Binary relation - Wikipedia,"In mathematics, a binary relation associates elements of one set, called the domain, with elements of another set, called the codomain.",27
Binary relation - Wikipedia,"It is a generalization of the more widely understood idea of a unary function. It encodes the common concept of relation: an element x is related to an element y, if and only if the pair (x, y) belongs to the set of ordered pairs that defines the binary relation. A binary relation is the most studied special case n = 2 of an n-ary relation over sets X1, ..., Xn, which is a subset of the Cartesian product",95
Equality (mathematics) - Wikipedia,"In mathematics, equality is a relationship between two quantities or, more generally, two mathematical expressions, asserting that the quantities have the same value, or that the expressions represent the same mathematical object.",38
Equality (mathematics) - Wikipedia,"When A and B are not fully specified or depend on some variables, equality is a proposition, which may be true for some values and false for other values. Equality is a binary relation (i.e., a two-argument predicate) which may produce a truth value (false or true) from its arguments. In computer programming, its computation from the two expressions is known as comparison.",77
Equation - Wikipedia,"In mathematics, an equation is a mathematical formula that expresses the equality of two expressions, by connecting them with the equals sign =",25
Equation - Wikipedia,"Solving an equation containing variables consists of determining which values of the variables make the equality true. The variables for which the equation has to be solved are also called unknowns, and the values of the unknowns that satisfy the equality are called solutions of the equation",52
Equation - Wikipedia,There are two kinds of equations: identities and conditional equations. An identity is true for all values of the variables. A conditional equation is only true for particular values of the variables.,36
Equation solving - Wikipedia,"In mathematics, to solve an equation is to find its solutions, which are the values (numbers, functions, sets, etc.) that fulfill the condition stated by the equation, consisting generally of two expressions related by an equals sign.",46
Equation solving - Wikipedia,"When seeking a solution, one or more variables are designated as unknowns. A solution is an assignment of values to the unknown variables that makes the equality in the equation true.",35
Equation solving - Wikipedia,"In other words, a solution is a value or a collection of values (one for each unknown) such that, when substituted for the unknowns, the equation becomes an equality. A solution of an equation is often called a root of the equation, particularly but not only for polynomial equations.",58
Numerical analysis - Wikipedia,Numerical analysis is the study of algorithms that use numerical approximation (as opposed to symbolic manipulations) for the problems of mathematical analysis (as distinguished from discrete mathematics).,33
Numerical analysis - Wikipedia,"It is the study of numerical methods that attempt to find approximate solutions of problems rather than the exact ones. Numerical analysis finds application in all fields of engineering and the physical sciences, and in the 21st century also the life and social sciences, medicine, business and even the arts.",58
Numerical analysis - Wikipedia,"Current growth in computing power has enabled the use of more complex numerical analysis, providing detailed and realistic mathematical models in science and engineering",25
Celestial mechanics - Wikipedia,"Celestial mechanics is the branch of astronomy that deals with the motions of objects in outer space. Historically, celestial mechanics applies principles of physics (classical mechanics) to astronomical objects, such as stars and planets, to produce ephemeris data.",51
Celestial mechanics - Wikipedia,"Modern analytic celestial mechanics started with Isaac Newton's Principia of 1687. The name ""celestial mechanics"" is more recent than that.",29
Kepler's laws of planetary motion - Wikipedia,"In astronomy, Kepler's laws of planetary motion, published by Johannes Kepler between 1609 and 1619, describe the orbits of planets around the Sun. T",33
