id,text,token_count
815," Because of me, kings reign,
    and rulers make just decrees.",15
816," Rulers lead with my help,
    and nobles make righteous judgments.",15
817," I love all who love me.
    Those who search will surely find me.",16
818," I have riches and honor,
    as well as enduring wealth and justice.",15
819," My gifts are better than gold, even the purest gold,
    my wages better than sterling silver!",21
820," I walk in righteousness,
    in paths of justice.",11
821," Those who love me inherit wealth.
    I will fill their treasuries.",16
822," The Lord formed me from the beginning,
    before he created anything else.",15
823," I was appointed in ages past,
    at the very first, before the earth began.",18
824," I was born before the oceans were created,
    before the springs bubbled forth their waters.",19
825," Before the mountains were formed,
    before the hills, I was born",14
826," before he had made the earth and fields
    and the first handfuls of soil.",18
827," I was there when he established the heavens,
    when he drew the horizon on the oceans.",19
828," I was there when he set the clouds above,
    when he established springs deep in the earth.",20
829," I was there when he set the limits of the seas,
    so they would not spread beyond their boundaries.
And when he marked off the earths foundations,",32
830,"     I was the architect at his side.
I was his constant delight,
    rejoicing always in his presence.",23
831," And how happy I was with the world he created;
    how I rejoiced with the human family!",21
832," And so, my children, listen to me,
    for all who follow my ways are joyful.",20
833," Listen to my instruction and be wise.
    Dont ignore it.",13
834," Joyful are those who listen to me,
    watching for me daily at my gates,
    waiting for me outside my home!",26
835," For whoever finds me finds life
    and receives favor from the Lord.",15
836," But those who miss me injure themselves.
    All who hate me love death.",17
901,"Wisdom has built her house;
    she has carved its seven columns.",15
902," She has prepared a great banquet,
    mixed the wines, and set the table.",17
903," She has sent her servants to invite everyone to come.
    She calls out from the heights overlooking the city.",22
904," Come in with me, she urges the simple.
    To those who lack good judgment, she says,",21
905," Come, eat my food,
    and drink the wine I have mixed.",15
906," Leave your simple ways behind, and begin to live;
    learn to use good judgment.",18
907," Anyone who rebukes a mocker will get an insult in return.
    Anyone who corrects the wicked will get hurt.",24
908," So dont bother correcting mockers;
    they will only hate you.
But correct the wise,
    and they will love you.",26
909," Instruct the wise,
    and they will be even wiser.
Teach the righteous,
    and they will learn even more.",27
910," Fear of the Lord is the foundation of wisdom.
    Knowledge of the Holy One results in good judgment.",21
911," Wisdom will multiply your days
    and add years to your life.",14
912," If you become wise, you will be the one to benefit.
    If you scorn wisdom, you will be the one to suffer.",27
913," The woman named Folly is brash.
    She is ignorant and doesnt know it.",18
914," She sits in her doorway
    on the heights overlooking the city.",14
915," She calls out to men going by
    who are minding their own business.",17
916," Come in with me, she urges the simple.
    To those who lack good judgment, she says,",21
917," Stolen water is refreshing;
    food eaten in secret tastes the best!",15
918," But little do they know that the dead are there.
    Her guests are in the depths of the grave.",22
1001,"The proverbs of Solomon:
A wise child brings joy to a father;
    a foolish child brings grief to a mother.",25
1002," Tainted wealth has no lasting value,
    but right living can save your life.",17
1003," The Lord will not let the godly go hungry,
    but he refuses to satisfy the craving of the wicked.",23
1004," Lazy people are soon poor;
    hard workers get rich.",12
1005," A wise youth harvests in the summer,
    but one who sleeps during harvest is a disgrace.",20
1006," The godly are showered with blessings;
    the words of the wicked conceal violent intentions.",19
1007," We have happy memories of the godly,
    but the name of a wicked person rots away.",21
1008," The wise are glad to be instructed,
    but babbling fools fall flat on their faces.",19
1009," People with integrity walk safely,
    but those who follow crooked paths will be exposed.",18
1010," People who wink at wrong cause trouble,
    but a bold reproof promotes peace.",17
1011," The words of the godly are a lifegiving fountain;
    the words of the wicked conceal violent intentions.",23
1012," Hatred stirs up quarrels,
    but love makes up for all offenses.",17
1013," Wise words come from the lips of people with understanding,
    but those lacking sense will be beaten with a rod.",23
1014," Wise people treasure knowledge,
    but the babbling of a fool invites disaster.",16
1015," The wealth of the rich is their fortress;
    the poverty of the poor is their destruction.",19
1016," The earnings of the godly enhance their lives,
    but evil people squander their money on sin.",21
1017," People who accept discipline are on the pathway to life,
    but those who ignore correction will go astray.",22
1018," Hiding hatred makes you a liar;
    slandering others makes you a fool.",17
1019," Too much talk leads to sin.
    Be sensible and keep your mouth shut.",16
1020," The words of the godly are like sterling silver;
    the heart of a fool is worthless.",20
1021," The words of the godly encourage many,
    but fools are destroyed by their lack of common sense.",21
1022," The blessing of the Lord makes a person rich,
    and he adds no sorrow with it.",19
1023," Doing wrong is fun for a fool,
    but living wisely brings pleasure to the sensible.",18
1024," The fears of the wicked will be fulfilled;
    the hopes of the godly will be granted.",20
1025," When the storms of life come, the wicked are whirled away,
    but the godly have a lasting foundation.",25
1026," Lazy people irritate their employers,
    like vinegar to the teeth or smoke in the eyes.",19
1027," Fear of the Lord lengthens ones life,
    but the years of the wicked are cut short.",20
1028," The hopes of the godly result in happiness,
    but the expectations of the wicked come to nothing.",21
1029," The way of the Lord is a stronghold to those with integrity,
    but it destroys the wicked.",20
1030," The godly will never be disturbed,
    but the wicked will be removed from the land.",19
1031," The mouth of the godly person gives wise advice,
    but the tongue that deceives will be cut off.",23
1032," The lips of the godly speak helpful words,
    but the mouth of the wicked speaks perverse words.",21
1101,"The Lord detests the use of dishonest scales,
    but he delights in accurate weights.",18
1102," Pride leads to disgrace,
    but with humility comes wisdom.",12
1103," Honesty guides good people;
    dishonesty destroys treacherous people.",15
1104," Riches wont help on the day of judgment,
    but right living can save you from death.",20
1105," The godly are directed by honesty;
    the wicked fall beneath their load of sin.",18
1106," The godliness of good people rescues them;
    the ambition of treacherous people traps them.",21
1107," When the wicked die, their hopes die with them,
    for they rely on their own feeble strength.",22
1108," The godly are rescued from trouble,
    and it falls on the wicked instead.",17
1109," With their words, the godless destroy their friends,
    but knowledge will rescue the righteous.",19
1110," The whole city celebrates when the godly succeed;
    they shout for joy when the wicked die.",20
1111," Upright citizens are good for a city and make it prosper,
    but the talk of the wicked tears it apart.",25
1112," It is foolish to belittle ones neighbor;
    a sensible person keeps quiet.",16
1113," A gossip goes around telling secrets,
    but those who are trustworthy can keep a confidence.",18
1114," Without wise leadership, a nation falls;
    there is safety in having many advisers.",17
1115," Theres danger in putting up security for a strangers debt;
    its safer not to guarantee another persons debt.",22
1116," A gracious woman gains respect,
    but ruthless men gain only wealth.",14
1117," Your kindness will reward you,
    but your cruelty will destroy you.",14
1118," Evil people get rich for the moment,
    but the reward of the godly will last.",19
1119," Godly people find life;
    evil people find death.",12
1120," The Lord detests people with crooked hearts,
    but he delights in those with integrity.",19
1121," Evil people will surely be punished,
    but the children of the godly will go free.",19
1122," A beautiful woman who lacks discretion
    is like a gold ring in a pigs snout.",19
1123," The godly can look forward to a reward,
    while the wicked can expect only judgment.",19
1124," Give freely and become more wealthy;
    be stingy and lose everything.",15
1125," The generous will prosper;
    those who refresh others will themselves be refreshed.",15
1126," People curse those who hoard their grain,
    but they bless the one who sells in time of need.",22
1127," If you search for good, you will find favor;
    but if you search for evil, it will find you!",24
1128," Trust in your money and down you go!
    But the godly flourish like leaves in spring.",20
1129," Those who bring trouble on their families inherit the wind.
    The fool will be a servant to the wise.",22
1130," The seeds of good deeds become a tree of life;
    a wise person wins friends.",18
1131," If the righteous are rewarded here on earth,
    what will happen to wicked sinners?",18
1201,"To learn, you must love discipline;
    it is stupid to hate correction.",16
1202," The Lord approves of those who are good,
    but he condemns those who plan wickedness.",20
1203," Wickedness never brings stability,
    but the godly have deep roots.",16
1204," A worthy wife is a crown for her husband,
    but a disgraceful woman is like cancer in his bones.",23
1205," The plans of the godly are just;
    the advice of the wicked is treacherous.",20
1206," The words of the wicked are like a murderous ambush,
    but the words of the godly save lives.",22
1207," The wicked die and disappear,
    but the family of the godly stands firm.",17
1208," A sensible person wins admiration,
    but a warped mind is despised.",15
1209," Better to be an ordinary person with a servant
    than to be selfimportant but have no food.",21
1210," The godly care for their animals,
    but the wicked are always cruel.",16
1211," A hard worker has plenty of food,
    but a person who chases fantasies has no sense.",20
1212," Thieves are jealous of each others loot,
    but the godly are well rooted and bear their own fruit.",23
1213," The wicked are trapped by their own words,
    but the godly escape such trouble.",18
1214," Wise words bring many benefits,
    and hard work brings rewards.",13
1215," Fools think their own way is right,
    but the wise listen to others.",17
1216," A fool is quicktempered,
    but a wise person stays calm when insulted.",18
1217," An honest witness tells the truth;
    a false witness tells lies.",14
1218," Some people make cutting remarks,
    but the words of the wise bring healing.",16
1219," Truthful words stand the test of time,
    but lies are soon exposed.",16
1220," Deceit fills hearts that are plotting evil;
    joy fills hearts that are planning peace!",19
1221," No harm comes to the godly,
    but the wicked have their fill of trouble.",18
1222," The Lord detests lying lips,
    but he delights in those who tell the truth.",18
1223," The wise dont make a show of their knowledge,
    but fools broadcast their foolishness.",18
1224," Work hard and become a leader;
    be lazy and become a slave.",15
1225," Worry weighs a person down;
    an encouraging word cheers a person up.",16
1226," The godly give good advice to their friends;
    the wicked lead them astray.",18
1227," Lazy people dont even cook the game they catch,
    but the diligent make use of everything they find.",21
1228," The way of the godly leads to life;
    that path does not lead to death.",19
1301,"A wise child accepts a parents discipline;
    a mocker refuses to listen to correction.",17
1302," Wise words will win you a good meal,
    but treacherous people have an appetite for violence.",21
1303," Those who control their tongue will have a long life;
    opening your mouth can ruin everything.",19
1304," Lazy people want much but get little,
    but those who work hard will prosper.",17
1305," The godly hate lies;
    the wicked cause shame and disgrace.",14
1306," Godliness guards the path of the blameless,
    but the evil are misled by sin.",19
1307," Some who are poor pretend to be rich;
    others who are rich pretend to be poor.",19
1308," The rich can pay a ransom for their lives,
    but the poor wont even get threatened.",19
1309," The life of the godly is full of light and joy,
    but the light of the wicked will be snuffed out.",26
1310," Pride leads to conflict;
    those who take advice are wise.",13
1311," Wealth from getrichquick schemes quickly disappears;
    wealth from hard work grows over time.",18
1312," Hope deferred makes the heart sick,
    but a dream fulfilled is a tree of life.",18
1313," People who despise advice are asking for trouble;
    those who respect a command will succeed.",19
1314," The instruction of the wise is like a lifegiving fountain;
    those who accept it avoid the snares of death.",26
1315," A person with good sense is respected;
    a treacherous person is headed for destruction.",19
1316," Wise people think before they act;
    fools dontand even brag about their foolishness.",18
1317," An unreliable messenger stumbles into trouble,
    but a reliable messenger brings healing.",16
1318," If you ignore criticism, you will end in poverty and disgrace;
    if you accept correction, you will be honored.",24
1319," It is pleasant to see dreams come true,
    but fools refuse to turn from evil to attain them.",21
1320," Walk with the wise and become wise;
    associate with fools and get in trouble.",17
1321," Trouble chases sinners,
    while blessings reward the righteous.",13
1322," Good people leave an inheritance to their grandchildren,
    but the sinners wealth passes to the godly.",21
1323," A poor persons farm may produce much food,
    but injustice sweeps it all away.",17
1324," Those who spare the rod of discipline hate their children.
    Those who love their children care enough to discipline them.",23
1325," The godly eat to their hearts content,
    but the belly of the wicked goes hungry.",19
1401,"A wise woman builds her home,
    but a foolish woman tears it down with her own hands.",20
1402," Those who follow the right path fear the Lord;
    those who take the wrong path despise him.",21
1403," A fools proud talk becomes a rod that beats him,
    but the words of the wise keep them safe.",22
1404," Without oxen a stable stays clean,
    but you need a strong ox for a large harvest.",20
1405," An honest witness does not lie;
    a false witness breathes lies.",15
1406," A mocker seeks wisdom and never finds it,
    but knowledge comes easily to those with understanding.",19
1407," Stay away from fools,
    for you wont find knowledge on their lips.",15
1408," The prudent understand where they are going,
    but fools deceive themselves.",14
1409," Fools make fun of guilt,
    but the godly acknowledge it and seek reconciliation.",18
1410," Each heart knows its own bitterness,
    and no one else can fully share its joy.",18
1411," The house of the wicked will be destroyed,
    but the tent of the godly will flourish.",20
1412," There is a path before each person that seems right,
    but it ends in death.",18
1413," Laughter can conceal a heavy heart,
    but when the laughter ends, the grief remains.",19
1414," Backsliders get what they deserve;
    good people receive their reward.",15
1415," Only simpletons believe everything theyre told!
    The prudent carefully consider their steps.",17
1416," The wise are cautious and avoid danger;
    fools plunge ahead with reckless confidence.",16
1417," Shorttempered people do foolish things,
    and schemers are hated.",15
1418," Simpletons are clothed with foolishness,
    but the prudent are crowned with knowledge.",18
1419," Evil people will bow before good people;
    the wicked will bow at the gates of the godly.",21
1420," The poor are despised even by their neighbors,
    while the rich have many friends.",18
1421," It is a sin to belittle ones neighbor;
    blessed are those who help the poor.",19
1422," If you plan to do evil, you will be lost;
    if you plan to do good, you will receive unfailing love and faithfulness.",30
1423," Work brings profit,
    but mere talk leads to poverty!",12
1424," Wealth is a crown for the wise;
    the effort of fools yields only foolishness.",18
1425," A truthful witness saves lives,
    but a false witness is a traitor.",16
1426," Those who fear the Lord are secure;
    he will be a refuge for their children.",18
1427," Fear of the Lord is a lifegiving fountain;
    it offers escape from the snares of death.",23
1428," A growing population is a kings glory;
    a prince without subjects has nothing.",16
1429," People with understanding control their anger;
    a hot temper shows great foolishness.",16
1430," A peaceful heart leads to a healthy body;
    jealousy is like cancer in the bones.",18
1431," Those who oppress the poor insult their Maker,
    but helping the poor honors him.",17
1432," The wicked are crushed by disaster,
    but the godly have a refuge when they die.",19
1433," Wisdom is enshrined in an understanding heart;
    wisdom is not found among fools.",18
1434," Godliness makes a nation great,
    but sin is a disgrace to any people.",17
1435," A king rejoices in wise servants
    but is angry with those who disgrace him.",18
1501,"A gentle answer deflects anger,
    but harsh words make tempers flare.",16
1502," The tongue of the wise makes knowledge appealing,
    but the mouth of a fool belches out foolishness.",22
1503," The Lord is watching everywhere,
    keeping his eye on both the evil and the good.",18
1504," Gentle words are a tree of life;
    a deceitful tongue crushes the spirit.",18
1505," Only a fool despises a parents discipline;
    whoever learns from correction is wise.",17
1506," There is treasure in the house of the godly,
    but the earnings of the wicked bring trouble.",21
1507," The lips of the wise give good advice;
    the heart of a fool has none to give.",20
1508," The Lord detests the sacrifice of the wicked,
    but he delights in the prayers of the upright.",21
1509," The Lord detests the way of the wicked,
    but he loves those who pursue godliness.",20
1510," Whoever abandons the right path will be severely disciplined;
    whoever hates correction will die.",19
1511," Even Death and Destruction hold no secrets from the Lord.
    How much more does he know the human heart!",22
1512," Mockers hate to be corrected,
    so they stay away from the wise.",16
