samples,langs
  for (var i = 0; i < foodArray.length; i++){
    groceryList[(foodArray[i])] = 1;
  }
  displayList(groceryList);
}

var addItem = function(newItem) {
  groceryList[newItem] = 1;
  displayList(groceryList);
}

var removeItem = function(itemToLose) {
  delete groceryList[itemToLose];
  displayList(groceryList);
}

var updateList = function(updateItem, newQuantity) {
  groceryList[updateItem] = newQuantity;
  displayList(groceryList);
}

var foodList = (""funfettiMix bananas chocolateCoveredAlmonds"")
createList(foodList)
addItem(""peaches"")
updateList(""peaches"", 20)
removeItem(""bananas"")

// Release 5: Reflect
// What concepts did you solidify in working on this challenge? (reviewing the passing of information, objects, constructors, etc.)
// I solidified accessing different properties in an object. I was able to add strings from an array into an empty object and set their default value. To change those values I knew I needed to access the property using bracket notation, and change the value it was = to.
// What was the most difficult part of this challenge?
// I forgot I needed to convert the string to an array, but once I did that with the .split("" "") method, all of the strings were easily accessible to add to the new object.
// Did an array or object make more sense to use and why?
// This was weirdly WAY easier with JavaScript than it was initially with Ruby (probably because we were on our second week of Ruby at this point!). It was so easy to add each string from an array into the object as a property and set it's default. Accessing these properties to update or delete was made easier by using bracket notation. Instead of complicated hash methods and having to convert strings to arrays to hashes, all I had to do was split the string and add each string to the object with a default value.",JavaScript
"var _ = require(""underscore""),
    Events = require(""./Events""),
    querystring = require(""querystring""),
    httpClient = require(""./httpClient""),
    utils = require(""./utils""),
    logger = require(""config-logger"");

var environments = {
    sandbox: {
        restHost: ""api-sandbox.oanda.com"",
        streamHost: ""stream-sandbox.oanda.com"",
        secure: false
    },
    practice: {
        restHost: ""api-fxpractice.oanda.com"",
        streamHost: ""stream-fxpractice.oanda.com""
    },
    live: {
        restHost: ""api-fxtrade.oanda.com"",
        streamHost: ""stream-fxtrade.oanda.com""
    }
};

var maxRequestsPerSecond = 15,
    maxRequestsWarningThreshold = 1000;

/*
 * config.environment
 * config.accessToken
 * config.username (Sandbox only)
 */
function OandaAdapter (config) {

    config.environment = config.environment || ""practice"";

    // this.accountId = accountId;
    this.accessToken = config.accessToken;

    this.restHost = environments[config.environment].restHost;
    this.streamHost = environments[config.environment].streamHost;
    this.secure = environments[config.environment].secure;

    if (config.environment === ""sandbox"") {
        this.username = config.username;
    }

    this.subscriptions = {};

    this._eventsBuffer = [];
    this._pricesBuffer = [];

    this._sendRESTRequest = utils.rateLimit(this._sendRESTRequest, this, 1000 / maxRequestsPerSecond, maxRequestsWarningThreshold);
}

Events.mixin(OandaAdapter.prototype);

/*
 * Subscribes to events for all accounts authorized by the token
 */
OandaAdapter.prototype.subscribeEvents = function (listener, context) {

    var existingSubscriptions = this.getHandlers(""event"");

    this.off(""event"", listener, context);
    this.on(""event"", listener, context);

    if (existingSubscriptions.length === 0) {
        this._streamEvents();
    }
};

OandaAdapter.prototype.unsubscribeEvents = function (listener, context) {
    this.off(""event"", listener, context);
    this._streamEvents();
};

OandaAdapter.prototype._streamEvents = function () {

    var subscriptionCount = this.getHandlers(""event"").length;

    if (this.eventsRequest) {
        this.eventsRequest.abort();
    }
    if (subscriptionCount === 0) {
        return;
    }

    clearTimeout(this.eventsTimeout);
    this.eventsTimeout = setTimeout(this._eventsHeartbeatTimeout.bind(this), 20000);

    this.eventsRequest = httpClient.sendRequest({
            hostname: this.streamHost,
            method: ""GET"",
            path: ""/v1/events"",
            headers: {
                Authorization: ""Bearer "" + this.accessToken,
                Connection: ""Keep-Alive""
            },
            secure: this.secure
        },
        this._onEventsResponse.bind(this),
        this._onEventsData.bind(this)
    );
};

OandaAdapter.prototype._onEventsResponse = function (error, body, statusCode) {
    if (statusCode !== 200) {
        if (body && body.disconnect) {
            this.trigger(""message"", null, ""Events streaming API disconnected.\nOanda code "" + body.disconnect.code + "": "" + body.disconnect.message);
        } else {
            this.trigger(""message"", null, ""Events streaming API disconnected with status "" + statusCode);
        }
    }
    clearTimeout(this.eventsTimeout);
    this.eventsTimeout = setTimeout(this._eventsHeartbeatTimeout.bind(this), 20000);
};

OandaAdapter.prototype._onEventsData = function (data) {

    // Single chunks sometimes contain more than one event. Each always end with /r/n. Whole chunk therefore not JSON parsable, so must split.
    // Also, an event may be split accross data chunks, so must buffer.
    data.split(/\r\n/).forEach(function (line) {
        var update;
        if (line) {
            this._eventsBuffer.push(line);
            try {
                update = JSON.parse(this._eventsBuffer.join(""""));
            } catch (error) {
                if (this._eventsBuffer.length <= 5) {
                    // Wait for next line.
                    return;
                }
                logger.error(""Unable to parse Oanda events subscription update"", this._eventsBuffer.join(""\n""), error);
                this._eventsBuffer = [];
                return;
            }
            this._eventsBuffer = [];

            if (update.heartbeat) {
                clearTimeout(this.eventsTimeout);
                this.eventsTimeout = setTimeout(this._eventsHeartbeatTimeout.bind(this), 20000);
                return;
            }
            this.trigger(""event"", update);
        }
    }, this);
};

OandaAdapter.prototype._eventsHeartbeatTimeout = function () {
    logger.warn(""OandaAdapter: No heartbeat received from events stream for 20 seconds. Reconnecting."");
    this._streamEvents();
};

OandaAdapter.prototype.getAccounts = function (callback) {

    this._sendRESTRequest({
        method: ""GET"",
        path: ""/v1/accounts"" + (this.username ? ""?username="" + this.username : """")
    }, function (error, body, statusCode) {
        if (error) {
            if (body && body.message) {
                logger.error(""Response from Oanda"", statusCode + "" Error: "" + body.message + "" (OANDA error code "" + body.code + "")"");
                return callback(body.message);
            }
            return callback(error);
        }
        if (body.accounts) {
            callback(null, body.accounts);
        } else {
            callback(""Unexpected accounts response"");
        }
    });
};

OandaAdapter.prototype.getAccount = function (accountId, callback) {

    this._sendRESTRequest({
        method: ""GET"",
        path: ""/v1/accounts/"" + accountId
    }, callback);
};

OandaAdapter.prototype.getInstruments = function (accountId, callback) {

    this._sendRESTRequest({
        method: ""GET"",
        path: ""/v1/instruments?accountId="" + accountId + ""&fields="" + [""instrument"", ""displayName"", ""pip"", ""maxTradeUnits"", ""precision"", ""maxTrailingStop"", ""minTrailingStop"", ""marginRate"", ""halted""].join(""%2C""),
    },
    function (error, body, statusCode) {
        if (error) {
            if (body && body.message) {
                logger.error(""Response from Oanda"", statusCode + "" Error: "" + body.message + "" (OANDA error code "" + body.code + "")"");
                return callback(body.message);
            }
            return callback(error);
        }
        if (body.instruments) {
            callback(null, body.instruments);
        } else {
            callback(""Unexpected instruments response"");
        }
    });
};

OandaAdapter.prototype.getPrice = function (symbol, callback) {

    var multiple = _.isArray(symbol);

    if (multiple) {
        symbol = symbol.join(""%2C"");
    }

    this._sendRESTRequest({
        method: ""GET"",
        path: ""/v1/prices?instruments="" + symbol
    }, function (error, body, statusCode) {
        if (error) {
            if (body && body.message) {
                logger.error(""Response from Oanda"", statusCode + "" Error: "" + body.message + "" (OANDA error code "" + body.code + "")"");
                return callback(body.message);
            }
            return callback(error);
        }
        if (body && body.prices[0]) {
            callback(null, multiple ? body.prices : body.prices[0]);
        } else {
            callback(""Unexpected price response for "" + symbol);
        }
    });
};

OandaAdapter.prototype.subscribePrice = function (accountId, symbol, listener, context) {

    var existingSubscriptions = this.getHandlers(""price/"" + symbol);

    // Price stream needs an accountId to be passed for streaming prices, though prices for a connection are same anyway
    if (!this.streamPrices) {
        this.streamPrices = _.throttle(this._streamPrices.bind(this, accountId));
    }

    this.off(""price/"" + symbol, listener, context);
    this.on(""price/"" + symbol, listener, context);

    if (existingSubscriptions.length === 0) {
        this.streamPrices();
    }
};

OandaAdapter.prototype.unsubscribePrice = function (symbol, listener, context) {
    this.off(""price/"" + symbol, listener, context);
    this.streamPrices();
};

// Kills rates streaming keep alive request for account and creates a new one whenever subsciption list changes. Should always be throttled.
OandaAdapter.prototype._streamPrices = function (accountId) {

    var changed;

    this.priceSubscriptions = Object.keys(this.getHandlers()).reduce(function (memo, event) {
        var match = event.match(""^price/(.+)$"");
        if (match) {
            memo.push(match[1]);
        }
        return memo;
    }, []).sort().join(""%2C"");

    changed = !this.lastPriceSubscriptions || this.priceSubscriptions !== this.lastPriceSubscriptions;

    this.lastPriceSubscriptions = this.priceSubscriptions;

    if (!changed) {
        return;
    }

    if (this.pricesRequest) {
        this.pricesRequest.abort();
    }

    if (this.priceSubscriptions === """") {
        return;
    }

    clearTimeout(this.pricesTimeout);
    this.pricesTimeout = setTimeout(this._pricesHeartbeatTimeout.bind(this), 10000);

    this.pricesRequest = httpClient.sendRequest({
            hostname: this.streamHost,
            method: ""GET"",
            path: ""/v1/prices?accountId="" + accountId + ""&instruments="" + this.priceSubscriptions,
            headers: {
                Authorization: ""Bearer "" + this.accessToken,
                Connection: ""Keep-Alive""
            },
            secure: this.secure
        },
        this._onPricesResponse.bind(this, accountId),
        this._onPricesData.bind(this)
    );
};

OandaAdapter.prototype._onPricesResponse = function (accountId, error, body, statusCode) {
    if (statusCode !== 200) {
        if (body && body.disconnect) {
            this.trigger(""message"", accountId, ""Prices streaming API disconnected.\nOanda code "" + body.disconnect.code + "": "" + body.disconnect.message);
        } else {
            this.trigger(""message"", accountId, ""Prices streaming API disconnected with status "" + statusCode);
        }
    }
    clearTimeout(this.pricesTimeout);
    this.pricesTimeout = setTimeout(this._pricesHeartbeatTimeout.bind(this), 10000);
};

OandaAdapter.prototype._onPricesData = function (data) {

    // Single data chunks sometimes contain more than one tick. Each always end with /r/n. Whole chunk therefore not JSON parsable, so must split.
    // A tick may also be split accross data chunks, so must buffer
    data.split(/\r\n/).forEach(function (line) {
        var update;
        if (line) {
            this._pricesBuffer.push(line);
            try {
                update = JSON.parse(this._pricesBuffer.join(""""));
            } catch (error) {
                if (this._pricesBuffer.length <= 5) {
                    // Wait for next update.
                    return;
                }
                // Drop if cannot produce object after 5 updates
                logger.error(""Unable to parse Oanda price subscription update"", this._pricesBuffer.join(""\n""), error);
                this._pricesBuffer = [];
                return;
            }
            this._pricesBuffer = [];

            if (update.heartbeat) {
                clearTimeout(this.pricesTimeout);
                this.pricesTimeout = setTimeout(this._pricesHeartbeatTimeout.bind(this), 10000);
                return;
            }
            if (update.tick) {
                update.tick.time = new Date(update.tick.time);
                this.trigger(""price/"" + update.tick.instrument, update.tick);
            }
        }
    }, this);
};

OandaAdapter.prototype._pricesHeartbeatTimeout = function () {
    logger.warn(""OandaAdapter: No heartbeat received from prices stream for 10 seconds. Reconnecting."");
    delete this.lastPriceSubscriptions;
    this._streamPrices();
};

/**
 * Get historical price information about an instrument in candlestick format as defined at
 * http://developer.oanda.com/rest-live/rates/#aboutCandlestickRepresentation
 */
OandaAdapter.prototype.getCandles = function (instrument, options, callback)
{
    options = _.extend(options, {instrument: instrument});

    this._sendRESTRequest({
        method: ""GET"",
        path: ""/v1/candles?"" + querystring.stringify(options),
        headers: {
            Authorization: ""Bearer "" + this.accessToken,
            ""X-Accept-Datetime-Format"": ""UNIX""
        }
    }, function (error, body, statusCode) {
        if (error) {
            if (body && body.message) {
                logger.error(""Response from Oanda"", statusCode + "" Error: "" + body.message + "" (OANDA error code "" + body.code + "")"");
                return callback(body.message);
            }
            return callback(error);
        }
        if (body && body.candles) {
            callback(null, body.candles);
        } else if (body === """") {
            // Body is an empty string if there are no candles to return
            callback(null, []);
        } else {
            callback(""Unexpected candles response for "" + symbol);
        }
    });
};

OandaAdapter.prototype.getOpenPositions = function (accountId, callback) {

    this._sendRESTRequest({
        method: ""GET"",
        path: ""/v1/accounts/"" + accountId + ""/positions""
    }, function (error, body, statusCode) {
        if (error) {
            if (body && body.message) {
                logger.error(""Response from Oanda"", statusCode + "" Error: "" + body.message + "" (OANDA error code "" + body.code + "")"");
                return callback(body.message);
            }
            return callback(error);
        }
        if (body && body.positions) {
            callback(null, body.positions);
        } else {
            callback(""Unexpected response for open positions"");
        }
    });
};

OandaAdapter.prototype.getOpenTrades = function (accountId, callback) {

    this._sendRESTRequest({
        method: ""GET"",
        path: ""/v1/accounts/"" + accountId + ""/trades""
    }, function (error, body, statusCode) {
        if (error) {
            if (body && body.message) {
                logger.error(""Response from Oanda"", statusCode + "" Error: "" + body.message + "" (OANDA error code "" + body.code + "")"");
                return callback(body.message);
            }
            return callback(error);
        }
        if (body && body.trades) {
            callback(null, body.trades);
        } else {
            callback(""Unexpected response for open trades"");
        }
    });
};


/**
* @method createOrder
* @param {String} accountId Required.
* @param {Object} order
* @param {String} order.instrument Required. Instrument to open the order on.
* @param {Number} order.units Required. The number of units to open order for.
* @param {String} order.side Required. Direction of the order, either ‘buy’ or ‘sell’.
* @param {String} order.type Required. The type of the order ‘limit’, ‘stop’, ‘marketIfTouched’ or ‘market’.
* @param {String} order.expiry Required. If order type is ‘limit’, ‘stop’, or ‘marketIfTouched’. The value specified must be in a valid datetime format.
* @param {String} order.price Required. If order type is ‘limit’, ‘stop’, or ‘marketIfTouched’. The price where the order is set to trigger at.
* @param {Number} order.lowerBound Optional. The minimum execution price.
* @param {Number} order.upperBound Optional. The maximum execution price.
* @param {Number} order.stopLoss Optional. The stop loss price.
* @param {Number} order.takeProfit Optional. The take profit price.
* @param {Number} order.trailingStop Optional The trailing stop distance in pips, up to one decimal place.
* @param {Function} callback
*/

OandaAdapter.prototype.createOrder = function (accountId, order, callback) {

    if (!order.instrument) {
        return callback(""'instrument' is a required field"");
    }
    if (!order.units) {
        return callback(""'units' is a required field"");
    }
    if (!order.side) {
        return callback(""'side' is a required field. Specify 'buy' or 'sell'"");
    }
    if (!order.type) {
        return callback(""'type' is a required field. Specify 'market', 'marketIfTouched', 'stop' or 'limit'"");
    }
    if ((order.type !== ""market"") && !order.expiry) {
        return callback(""'expiry' is a required field for order type '"" + order.type + ""'"");
    }
    if ((order.type !== ""market"") && !order.price) {
        return callback(""'price' is a required field for order type '"" + order.type + ""'"");
    }

    this._sendRESTRequest({
        method: ""POST"",
        path: ""/v1/accounts/"" + accountId + ""/orders"",
        data: order,
        headers: {
            Authorization: ""Bearer "" + this.accessToken,
            ""Content-Type"": ""application/x-www-form-urlencoded""
        },
    }, function (error, body, statusCode) {
        if (error) {
            if (body && body.message) {
                logger.error(""Response from Oanda"", statusCode + "" Error: "" + body.message + "" (OANDA error code "" + body.code + "")"");
                return callback(body.message);
            }
            return callback(error);
        }
        callback(null, body);
    });
};

OandaAdapter.prototype.closeTrade = function (accountId, tradeId, callback) {

    this._sendRESTRequest({
        method: ""DELETE"",
        path: ""/v1/accounts/"" + accountId + ""/trades/"" + tradeId
    }, function (error, body, statusCode) {
        if (error) {
            if (body && body.message) {
                logger.error(""Response from Oanda"", statusCode + "" Error: "" + body.message + "" (OANDA error code "" + body.code + "")"");
                return callback(body.message);
            }
            return callback(error);
        }
        if (body) {
            callback(null, body);
        } else {
            callback(""Unexpected response for open positions"");
        }
    });
};

OandaAdapter.prototype.getOrders = function (accountId, callback)
{
    this._sendRESTRequest({
        method: ""GET"",
        path: ""/v1/accounts/"" + accountId + ""/orders"",
        headers: {
            Authorization: ""Bearer "" + this.accessToken,
            ""Content-Type"": ""application/x-www-form-urlencoded""
        },
    }, function (error, body, statusCode) {
        if (error) {
            if (body && body.message) {
                logger.error(""Response from Oanda"", statusCode + "" Error: "" + body.message + "" (OANDA error code "" + body.code + "")"");
                return callback(body.message);
            }
            return callback(error);
        }
        callback(null, body);
    });
};

OandaAdapter.prototype._sendRESTRequest = function (request, callback) {

    request.hostname = this.restHost;
    request.headers = request.headers || {
        Authorization: ""Bearer "" + this.accessToken
    };
    request.secure = this.secure;

    httpClient.sendRequest(request, callback);
};

OandaAdapter.prototype.kill = function () {
    if (this.pricesRequest) {
        this.pricesRequest.abort();
    }
    if (this.eventsRequest) {
        this.eventsRequest.abort();
    }
    this.off();
};

module.exports = OandaAdapter;",JavaScript
"import { connect } from 'react-redux';
import Main from './Main';
import * as userActions from '../../state/user/userActions';

const mapStateToProps = (state, ownProps) => {
  return {
    activeTab: ownProps.location.pathname.split('/')[2]
  };
};

const mapDispatchToProps = (dispatch) => {
  return {
    getUserData: () => dispatch(userActions.authRequest())
  };
};

export default connect(mapStateToProps, mapDispatchToProps)(Main);
",JavaScript
"'use strict';

var emojiArr = require('./emojis');
var i = 0;
var existingRules = {};

var generateEmoji = function(selector) {
    if (!existingRules[selector]) {
        existingRules[selector]  = emojiArr[i];
        if (i !== emojiArr.length) {
        	i++
        } else {
        	i = 0;
        }
    }
    return existingRules[selector];
}

module.exports = generateEmoji;
",JavaScript
"/**
 * React Starter Kit (https://www.reactstarterkit.com/)
 *
 * Copyright © 2014-present Kriasoft, LLC. All rights reserved.
 *
 * This source code is licensed under the MIT license found in the
 * LICENSE.txt file in the root directory of this source tree.
 */

import React from 'react';
// import Layout from '../../components/Layout';

const title = 'Admin Page';
const isAdmin = false;

export default {

  path: '/admin',
  children : [
    require('./dashboard').default,
    require('./library').default,
    require('./setting').default,
    // require('./editor').default,
    require('./news').default,
    require('./monngon').default,
    require('./product').default,
    require('./seo').default,
  ],
  async action({store, next}) {
    let user = store.getState().user
    const route = await next();
    // Provide default values for title, description etc.
    route.title = `${route.title || 'Amdmin Page'}`;
    return route;
  },

};
",JavaScript
"module.exports = {
    token: 'TELEGRAM_BOT_TOKEN',
    polling: {
        timeout: 3,
        limit: 100
    }
};
",JavaScript
"const path = require('path');
require('dotenv').config();
const HtmlWebpackPlugin = require('html-webpack-plugin');
const CopyWebpackPlugin = require('copy-webpack-plugin');
const ExtractTextPlugin = require('extract-text-webpack-plugin');
const { AureliaPlugin } = require('aurelia-webpack-plugin');
const { optimize: { CommonsChunkPlugin }, ProvidePlugin } = require('webpack')
const { TsConfigPathsPlugin, CheckerPlugin } = require('awesome-typescript-loader');
var BundleAnalyzerPlugin = require('webpack-bundle-analyzer').BundleAnalyzerPlugin;
const UglifyJSPlugin = require('uglifyjs-webpack-plugin')

var BrowserSyncPlugin = require('browser-sync-webpack-plugin');

// config helpers:
const ensureArray = (config) => config && (Array.isArray(config) ? config : [config]) || []
const when = (condition, config, negativeConfig) =>
  condition ? ensureArray(config) : ensureArray(negativeConfig)

// primary config:
const title = 'TechRadar';
const outDir = path.resolve(__dirname, 'dist');
const srcDir = path.resolve(__dirname, 'src');
const nodeModulesDir = path.resolve(__dirname, 'node_modules');
const baseUrl = '/';

const cssRules = [
  { loader: 'css-loader' },
  {
    loader: 'postcss-loader',
    options: { plugins: () => [require('autoprefixer')({ browsers: ['last 2 versions'] })] }
  }
]

module.exports = ({ production, server, extractCss, coverage } = {}) => ({
  resolve: {
    extensions: ['.ts', '.js'],
    modules: [srcDir, 'node_modules'],
    alias: {
      'aurelia-binding$': path.resolve(__dirname, 'node_modules/aurelia-binding/dist/amd/aurelia-binding.js')
    }
  },
  entry: {
    app: ['./src/main']
  },
  output: {
    path: outDir,
    publicPath: baseUrl,
    filename: production ? '[name].[chunkhash].bundle.js' : '[name].[hash].bundle.js',
    sourceMapFilename: production ? '[name].[chunkhash].bundle.map' : '[name].[hash].bundle.map',
    chunkFilename: production ? '[chunkhash].chunk.js' : '[hash].chunk.js',
  },
  devServer: {
    contentBase: baseUrl,
  },
  module: {
    rules: [
      // CSS required in JS/TS files should use the style-loader that auto-injects it into the website
      // only when the issuer is a .js/.ts file, so the loaders are not applied inside html templates
      {
        test: /\.css$/i,
        issuer: [{ not: [{ test: /\.html$/i }] }],
        use: extractCss ? ExtractTextPlugin.extract({
          fallback: 'style-loader',
          use: cssRules,
        }) : ['style-loader', ...cssRules],
      },
      {
        test: /\.css$/i,
        issuer: [{ test: /\.html$/i }],
        // CSS required in templates cannot be extracted safely
        // because Aurelia would try to require it again in runtime
        use: cssRules,
      },
      { test: /\.html$/i, loader: 'html-loader' },
      { test: /\.ts$/i, loader: 'awesome-typescript-loader', exclude: nodeModulesDir },
      { test: /\.json$/i, loader: 'json-loader' },
      // use Bluebird as the global Promise implementation:
      { test: /[\/\\]node_modules[\/\\]bluebird[\/\\].+\.js$/, loader: 'expose-loader?Promise' },
      // exposes jQuery globally as $ and as jQuery:
      { test: require.resolve('jquery'), loader: 'expose-loader?$!expose-loader?jQuery' },
      // embed small images and fonts as Data Urls and larger ones as files:
      { test: /\.(png|gif|jpg|cur)$/i, loader: 'url-loader', options: { limit: 8192 } },
      { test: /\.woff2(\?v=[0-9]\.[0-9]\.[0-9])?$/i, loader: 'url-loader', options: { limit: 10000, mimetype: 'application/font-woff2' } },
      { test: /\.woff(\?v=[0-9]\.[0-9]\.[0-9])?$/i, loader: 'url-loader', options: { limit: 10000, mimetype: 'application/font-woff' } },
      // load these fonts normally, as files:
      { test: /\.(ttf|eot|svg|otf)(\?v=[0-9]\.[0-9]\.[0-9])?$/i, loader: 'file-loader' },
      ...when(coverage, {
        test: /\.[jt]s$/i, loader: 'istanbul-instrumenter-loader',
        include: srcDir, exclude: [/\.{spec,test}\.[jt]s$/i],
        enforce: 'post', options: { esModules: true },
      })
    ]
  },
  plugins: [
    new BrowserSyncPlugin({
      // browse to http://localhost:3000/ during development,
      // ./public directory is being served
      host: 'localhost',
      port: 3000,
      server: { baseDir: ['dist'] }
    }),
    new AureliaPlugin(),
    new ProvidePlugin({
      'Promise': 'bluebird',
      '$': 'jquery',
      'jQuery': 'jquery',
      'window.jQuery': 'jquery', 
    }),
    new TsConfigPathsPlugin(),
    new CheckerPlugin(),
    new HtmlWebpackPlugin({
      template: 'index.ejs',
      minify: production ? {
        removeComments: true,
        collapseWhitespace: true
      } : undefined,
      metadata: {
        // available in index.ejs //
        title, server, baseUrl
      },
    }),
    // new UglifyJSPlugin(),
    new CopyWebpackPlugin([
      { from: 'static/favicon.ico', to: 'favicon.ico' }
      ,{ from: './../tr-host/projects', to: 'projects' }
      ,{ from: 'img', to: 'img' }
    ]),
    ...when(extractCss, new ExtractTextPlugin({
      filename: production ? '[contenthash].css' : '[id].css',
      allChunks: true,
    })),
    ...when(production, new CommonsChunkPlugin({
      name: ['vendor']
    })),
    ...when(production, new CopyWebpackPlugin([
      { from: 'static/favicon.ico', to: 'favicon.ico' }
    ]))
    // ,
    // new BundleAnalyzerPlugin({
    //   // Can be `server`, `static` or `disabled`. 
    //   // In `server` mode analyzer will start HTTP server to show bundle report. 
    //   // In `static` mode single HTML file with bundle report will be generated. 
    //   // In `disabled` mode you can use this plugin to just generate Webpack Stats JSON file by setting `generateStatsFile` to `true`. 
    //   analyzerMode: 'static',
    //   // Host that will be used in `server` mode to start HTTP server. 
    //   analyzerHost: '127.0.0.1',
    //   // Port that will be used in `server` mode to start HTTP server. 
    //   analyzerPort: 8888,
    //   // Path to bundle report file that will be generated in `static` mode. 
    //   // Relative to bundles output directory. 
    //   reportFilename: 'report.html',
    //   // Module sizes to show in report by default. 
    //   // Should be one of `stat`, `parsed` or `gzip`. 
    //   // See ""Definitions"" section for more information. 
    //   defaultSizes: 'parsed',
    //   // Automatically open report in default browser 
    //   openAnalyzer: false,
    //   // If `true`, Webpack Stats JSON file will be generated in bundles output directory 
    //   generateStatsFile: false,
    //   // Name of Webpack Stats JSON file that will be generated if `generateStatsFile` is `true`. 
    //   // Relative to bundles output directory. 
    //   statsFilename: 'stats.json',
    //   // Options for `stats.toJson()` method. 
    //   // For example you can exclude sources of your modules from stats file with `source: false` option. 
    //   // See more options here: https://github.com/webpack/webpack/blob/webpack-1/lib/Stats.js#L21 
    //   statsOptions: null,
    //   // Log level. Can be 'info', 'warn', 'error' or 'silent'. 
    //   logLevel: 'info'
    // })
  ],
})
",JavaScript
"export default function _isString(obj) {
  return toString.call(obj) === '[object String]'
}
",JavaScript
"const SELECTOR_BOOK_IMAGE = '#default > div > div > div > div > section > div:nth-child(2) > ol > li:nth-child(1) > article > div.image_container > a > img';
const puppeteer = require('puppeteer');

let scrapeSite1 = async (browser) => {
  const page = await browser.newPage();
  await page.goto('http://books.toscrape.com/');
  await page.waitFor(1000);
  await page.click(SELECTOR_BOOK_IMAGE);
  await page.waitFor(2000);
  const result = await page.evaluate(() => {
    let title = document.querySelector('h1').innerText;
    let price = document.querySelector('.price_color').innerText;

    return {
      title,
      price
    }

  });
  return result;
}
let scrape = async () => {
  const browser = await puppeteer.launch({ headless: false });
  const result = await Promise.all([
    scrapeSite1(browser),
    scrapeSite1(browser),
    scrapeSite1(browser),
    scrapeSite1(browser),
    scrapeSite1(browser)
  ]);
  await browser.close();
  return result;

};
scrape().then((value) => {
  console.log(value); // Success!
});
",JavaScript
"import test from 'ava';
import { spawn } from 'child_process';

test.cb('app should boot without exiting', (t) => {
  const cli = spawn('node', [ './cli' ]);

  cli.stderr.on('data', (param) => {
    console.log(param.toString());
  });

  cli.on('close', (code) => {
    t.fail(`app failed to boot ${code}`);
  });

  setTimeout(() => {
    t.pass();
    t.end();
    cli.kill();
